City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
71,bajil,0,ES,6/13/18 6:58 PM,26,38.23,-2.07,77.65,9.64
72,ribeira grande,75,PT,6/13/18 6:30 PM,88,38.52,-28.7,73.4,9.17
73,mar del plata,0,AR,6/13/18 6:51 PM,81,-46.43,-67.52,40.21,7.18
74,maceio,75,BR,6/13/18 6:00 PM,83,-9.67,-35.74,77,5.82
75,liverpool,20,GB,6/13/18 6:20 PM,63,53.41,-2.98,66.2,14.99
76,san patricio,0,PY,6/13/18 6:51 PM,64,-26.98,-56.83,54.7,4.94
77,biggar,20,GB,6/13/18 6:20 PM,82,55.62,-3.52,59,16.11
78,thompson,75,CA,6/13/18 6:00 PM,82,55.74,-97.86,59,4.7
79,maniitsoq,56,GL,6/13/18 6:58 PM,94,65.42,-52.9,36.43,6.17
80,coihaique,0,CL,6/13/18 6:00 PM,79,-45.58,-72.07,39.2,5.82
81,mildura,8,AU,6/13/18 6:58 PM,91,-34.18,142.16,44.98,11.21
82,port alfred,0,ZA,6/13/18 6:51 PM,57,-33.59,26.89,72.43,9.75
83,chadan,64,RU,6/13/18 6:58 PM,81,51.29,91.58,53.71,1.36
84,carnarvon,0,ZA,6/13/18 6:51 PM,40,-30.97,22.13,51.28,11.65
85,port blair,92,IN,6/13/18 6:52 PM,99,11.67,92.75,83.77,23.06
86,punta arenas,0,CL,6/13/18 6:00 PM,80,-53.16,-70.91,39.2,11.41
87,qaanaaq,0,GL,6/13/18 6:51 PM,94,77.48,-69.36,33.28,6.62
88,san quintin,90,PH,6/13/18 6:00 PM,88,17.54,120.52,78.8,11.41
89,panaba,56,MX,6/13/18 6:58 PM,76,21.28,-88.27,83.86,9.75
90,mount isa,75,AU,6/13/18 6:30 PM,100,-20.73,139.49,64.4,5.84
91,atuona,0,PF,6/13/18 6:51 PM,100,-9.8,-139.03,79.81,15.01
92,maragogi,92,BR,6/13/18 6:58 PM,84,-9.01,-35.22,79.45,11.21
93,pinega,92,RU,6/13/18 6:58 PM,79,64.7,43.39,40.03,9.86
94,brae,75,GB,6/13/18 6:20 PM,87,60.4,-1.35,51.8,16.11
95,narsaq,20,GL,6/13/18 5:50 PM,47,60.91,-46.05,55.4,13.87
96,samana,40,EC,6/13/18 6:00 PM,74,0.12,-76.97,82.4,2.24
97,grand gaube,75,MU,6/13/18 6:00 PM,69,-20.01,57.66,75.2,16.11
98,anadyr,0,RU,6/13/18 6:00 PM,44,64.73,177.51,59,4.47
99,katherine,12,AU,6/13/18 6:30 PM,82,-14.47,132.26,66.2,2.82
100,taoudenni,0,ML,6/13/18 6:58 PM,10,22.68,-3.98,106.09,12.1
101,port moresby,88,PG,6/13/18 6:52 PM,98,-9.47,147.16,77.38,20.49
102,dingle,68,PH,6/13/18 6:53 PM,85,11,122.67,78.28,6.96
103,jamame,36,SO,6/13/18 6:58 PM,79,0.07,42.75,77.47,10.98
104,georgetown,40,GY,6/13/18 6:00 PM,66,6.8,-58.16,86,16.11
105,marsa matruh,0,EG,6/13/18 6:00 PM,54,31.35,27.25,80.6,6.93
106,sulangan,76,PH,6/13/18 6:58 PM,100,11.14,123.72,85.3,16.13
107,vostok,24,RU,6/13/18 6:52 PM,89,46.45,135.83,40.21,2.37
108,colac,92,AU,6/13/18 6:58 PM,93,-38.34,143.59,48.22,8.86
109,ewo,0,CG,6/13/18 6:58 PM,75,-0.88,14.81,76.93,3.6
110,manicore,40,BR,6/13/18 6:00 PM,52,-5.81,-61.3,93.2,2.24
111,san cristobal,40,EC,6/13/18 6:00 PM,40,-0.39,-78.55,68,16.11
112,severo-kurilsk,92,RU,6/13/18 6:52 PM,100,50.68,156.12,37.96,15.68
113,sitka,36,US,6/13/18 6:52 PM,78,37.17,-99.65,80.89,15.12
114,mtambile,36,TZ,6/13/18 6:58 PM,99,-5.38,39.7,79.45,20.15
115,tilichiki,0,RU,6/13/18 6:52 PM,79,60.47,166.1,42.55,2.82
116,tiksi,100,RU,6/13/18 6:49 PM,86,71.64,128.87,48.13,3.49
117,ayan,0,TR,6/13/18 6:53 PM,42,40.67,33.6,61.72,1.92
118,morondava,0,MG,6/13/18 6:52 PM,85,-20.3,44.28,73.33,7.07
119,cherskiy,8,RU,6/13/18 6:52 PM,42,68.75,161.3,59.11,1.92
120,jamestown,80,AU,6/13/18 6:50 PM,95,-33.21,138.6,44.71,12.21
121,chinsali,0,ZM,6/13/18 6:58 PM,50,-10.55,32.07,63.16,8.86
122,goose creek,75,US,6/13/18 6:55 PM,69,38.32,-85.65,82.4,6.93
123,khatanga,0,RU,6/13/18 6:51 PM,68,71.98,102.47,58.48,6.62
124,marawi,12,PH,6/13/18 6:58 PM,99,8,124.29,64.15,2.26
125,ilyich,12,RU,6/13/18 6:58 PM,73,44.09,41.37,58.3,1.36
126,ambovombe,0,MG,6/13/18 6:58 PM,89,-25.18,46.09,69.46,15.79
127,faya,5,SA,6/13/18 6:00 PM,47,18.39,42.45,75.2,6.93
128,kaitangata,100,NZ,6/13/18 6:51 PM,94,-46.28,169.85,41.56,5.84
129,terney,0,RU,6/13/18 6:58 PM,96,45.05,136.61,44.53,5.95
130,warrnambool,92,AU,6/13/18 6:58 PM,100,-38.38,142.48,51.64,16.91
131,san juan de uraba,8,CO,6/13/18 6:58 PM,100,8.76,-76.53,83.05,8.19
132,bilibino,0,RU,6/13/18 6:52 PM,38,68.06,166.44,62.26,2.37
133,price,1,US,6/13/18 5:53 PM,8,39.6,-110.81,86,6.93
134,poso,48,ID,6/13/18 6:58 PM,100,-1.4,120.75,77.29,4.72
135,kodiak,1,US,6/13/18 5:53 PM,41,39.95,-94.76,78.8,9.17
136,sao miguel,76,BR,6/13/18 6:58 PM,98,4.52,-61.01,69.1,3.83
137,alyangula,0,AU,6/13/18 6:58 PM,100,-13.85,136.42,74.5,8.97
138,galle,20,US,6/13/18 6:02 PM,44,29.74,-97.91,93.2,9.17
139,bredasdorp,0,ZA,6/13/18 6:51 PM,58,-34.53,20.04,67.75,11.32
140,gallatin,75,US,6/13/18 6:30 PM,78,36.39,-86.45,80.6,6.93
141,port macquarie,0,AU,6/13/18 6:00 PM,100,-31.43,152.91,41,2.24
142,guerrero negro,0,MX,6/13/18 6:51 PM,62,27.97,-114.04,74.23,4.72
143,micheweni,44,TZ,6/13/18 6:52 PM,100,-4.97,39.83,79.72,20.27
144,high level,90,CA,6/13/18 6:00 PM,93,58.52,-117.13,42.8,2.24
145,hohhot,0,CN,6/13/18 6:00 PM,44,40.81,111.65,59,4.47
